,filename,image_red_std,image_red_mean,image_green_std,image_green_mean,image_blue_std,image_blue_mean,TP_cls_0,FP_cls_0,FN_cls_0,TN_cls_0,IoU_cls_0,accuracy_cls_0,count_cls_gt_0,count_cls_pred_0,TP_cls_1,FP_cls_1,FN_cls_1,TN_cls_1,IoU_cls_1,accuracy_cls_1,count_cls_gt_1,count_cls_pred_1,TP_cls_2,FP_cls_2,FN_cls_2,TN_cls_2,IoU_cls_2,accuracy_cls_2,count_cls_gt_2,count_cls_pred_2,TP_cls_3,FP_cls_3,FN_cls_3,TN_cls_3,IoU_cls_3,accuracy_cls_3,count_cls_gt_3,count_cls_pred_3
1435,X3-EEG1377.YUV.DAT.20221020.162845_MVR_551,21.432294411641685,40.553385416666664,21.880528666424453,40.55833333333334,21.524320661453313,41.091145833333336,15703,1713,4164,245172,0.7276645041705283,0.977968300143954,19867,17416,46765,22705,16974,180308,0.5409860719078248,0.8512513495681382,63739,69470,122884,20652,28432,94784,0.714574804614812,0.8159938819577736,151316,143536,25714,10616,6116,224306,0.6058050228525657,0.9372750719769674,31830,36330
1436,X3-EEG1377.YUV.DAT.20221020.162845_MVR_601,21.116035141668206,40.30625,21.676870594022564,40.1875,21.164905831694004,40.77317708333334,16750,2114,3117,244771,0.7620217460534098,0.9803900251919386,19867,18864,45520,24391,18219,178622,0.5165097015772154,0.8402636156429942,63739,69911,121527,21557,29789,93879,0.7029842716907788,0.8075140954894434,151316,143084,26051,8842,5779,226080,0.64051435877262,0.9451887895873321,31830,34893
1437,X3-EEG1377.YUV.DAT.20221020.162845_MVR_651,20.926306476164754,40.953125,21.530056470848198,40.80130208333333,21.258215628387454,41.05807291666667,16016,1592,3851,245293,0.7463535113472203,0.9795952795105566,19867,17608,44990,23135,18749,179878,0.517876464765062,0.842985244721689,63739,68125,116719,20180,34597,95256,0.6805931333675421,0.7946519613723608,151316,136899,28172,15948,3658,218974,0.5896437690987484,0.9265010196737045,31830,44120
1438,X3-EEG1377.YUV.DAT.20221020.162845_MVR_701,20.888021045991252,40.944531250000004,21.426575962674637,40.90442708333334,20.97429779538376,41.10546875,16057,1521,3810,245364,0.7507480830372172,0.9800151451535508,19867,17578,45857,21990,17882,181023,0.5349065077161754,0.85052783109405,63739,67847,119473,19096,31843,96340,0.7010832570476258,0.8090398572456814,151316,138569,28554,14204,3276,220718,0.6202806621193031,0.9344709692898272,31830,42758
1439,X3-EEG1377.YUV.DAT.20221020.162845_MVR_751,20.89621979893273,40.71848958333334,21.45170918027512,40.77942708333334,21.011068587470543,41.21432291666667,16709,1918,3158,244967,0.7669956392012853,0.9809710892514395,19867,18627,46562,24108,17177,178905,0.530035174792537,0.8452307761516314,63739,70670,117892,20071,33430,95359,0.687846061391072,0.7994354306621881,151322,137963,26655,12837,5169,222091,0.5968294485121247,0.9324991002879078,31824,39492
1440,X3-EEG1377.YUV.DAT.20221020.162845_MVR_801,20.5790902129578,40.27291666666667,21.25068237645191,40.0921875,20.50646611155711,40.65546875,15392,1471,4455,245434,0.7220189511211184,0.977784608925144,19847,16863,47810,24969,15935,178038,0.5389228306693419,0.8466590690978887,63745,72779,117938,18908,33398,96508,0.6927586287916168,0.8039152471209213,151336,136846,26764,13500,5060,221428,0.5905039272791457,0.9304222648752399,31824,40264
1441,X3-EEG1377.YUV.DAT.20221020.162845_MVR_851,20.32767580631203,40.15703125,20.95794086672791,39.89479166666667,20.47932961850226,40.33020833333333,15251,1337,4596,245568,0.7199301359516617,0.9777583673224568,19847,16588,48289,24055,15431,178977,0.5501452577613216,0.8519748680422264,63720,72344,117765,18871,33596,96520,0.6917912025941069,0.8033116902591171,151361,136636,26613,14571,5211,220357,0.5736178467507275,0.925841230806142,31824,41184
1442,X3-EEG1377.YUV.DAT.20221020.162845_RV_101,23.312444633756773,42.381510416666664,24.086253257010085,42.40286458333333,23.52591862999153,42.530729166666674,1692,589,15942,248529,0.0928496954398288,0.9380285808541267,17634,2281,31552,19656,16653,198891,0.46495041334492565,0.8638848068618042,48205,51208,62814,31859,12700,159379,0.5850074040960018,0.8329572036948176,75514,94673,107147,11443,18252,129910,0.7829979099983924,0.8886793726007678,125399,118590
1443,X3-EEG1377.YUV.DAT.20221020.162845_RV_151,23.514940176386233,42.432031249999994,24.136313193678383,42.5875,23.29718036608685,42.97239583333334,1587,722,16047,248396,0.08645674438875572,0.9371363663627639,17634,2309,31289,19663,16916,198884,0.46102728826545647,0.8628726307581573,48205,50952,64838,39496,10676,151742,0.5637596730719068,0.8119151871401151,75514,104334,100646,8511,24753,132842,0.7515943544171458,0.8752999040307101,125399,109157
1444,X3-EEG1377.YUV.DAT.20221020.162845_RV_1,14.223003446527409,15.455208333333331,15.412224371856036,15.579427083333332,14.23665981327393,15.554166666666667,2609,1806,15025,247312,0.13420781893004116,0.9369039407389635,17634,4415,34337,20312,13966,198137,0.5004299351453764,0.8714986204414588,48303,54649,60389,28373,15016,162974,0.5819056061978454,0.837343300143954,75405,88762,101571,17355,23839,123987,0.7114558890484363,0.8455719169865643,125410,118926
1445,X3-EEG1377.YUV.DAT.20221020.162845_RV_201,23.14994166719078,42.57734375,23.871877180365914,42.606510416666666,23.55412735853925,42.57005208333333,2110,941,15508,248193,0.1136914704456059,0.9383359824856046,17618,3051,30507,18681,17737,199827,0.4558386253268584,0.8634761876199616,48244,49188,66118,42035,9373,149226,0.5625818967717782,0.807281669865643,75491,108153,99106,7254,26293,134099,0.7471071140494373,0.8742389935220729,125399,106360
1446,X3-EEG1377.YUV.DAT.20221020.162845_RV_251,23.046434481136,42.23359375,23.79108151439455,42.28697916666667,23.772619294350996,42.43489583333333,2287,1183,15331,247951,0.12164246582628584,0.9380923104606526,17618,3470,30347,18584,17921,199900,0.4539430383533776,0.8631500419865643,48268,48931,65678,41870,9765,149439,0.5598527017466095,0.8064306921785028,75443,107548,99203,7600,26220,133729,0.7457582523323034,0.8732155710172744,125423,106803
1447,X3-EEG1377.YUV.DAT.20221020.162845_RV_301,23.499230614009733,42.25963541666667,24.22832112484349,42.23255208333333,23.14997665224667,42.811979166666674,2772,1218,14846,247916,0.1471650031853897,0.9397792706333973,17618,3990,30217,17962,18045,200528,0.45628473061125874,0.8650169445777351,48262,48179,65895,41441,9554,149862,0.5637351355975704,0.8088299244241842,75449,107336,99787,7460,25636,133869,0.7509387957827562,0.8759297024952015,125423,107247
1448,X3-EEG1377.YUV.DAT.20221020.162845_RV_351,23.563998613131186,42.09921875,24.282973626797073,42.327083333333334,23.617572772246174,42.4703125,2382,1271,15235,247864,0.12611181702668361,0.9381223008637236,17617,3653,30354,18439,17554,200405,0.45750373038720665,0.8650694277831094,47908,48793,65814,42500,10018,148420,0.556180914714532,0.8031205014395394,75832,108314,98632,7360,26763,133997,0.7429626002787089,0.8720796845009597,125395,105992
1449,X3-EEG1377.YUV.DAT.20221020.162845_RV_401,23.52691715656616,42.1984375,23.952654579200953,42.483072916666664,23.280149336339903,42.89661458333333,2032,1288,15585,247847,0.10748479238296747,0.9367464911228407,17617,3320,30007,18512,17933,200300,0.4515590200445434,0.863374970009597,47940,48519,66094,41606,9781,149271,0.562593100160877,0.8073603946737045,75875,107700,99884,7329,25436,134103,0.7529947455314401,0.8771705554222649,125320,107213
1450,X3-EEG1377.YUV.DAT.20221020.162845_RV_451,23.476074159507768,42.390625,24.285641740507163,42.29895833333334,23.43686283711463,42.83567708333334,2317,1179,15300,247956,0.12327090870397957,0.9382235184740882,17617,3496,31073,18745,16867,200067,0.46596685911374375,0.8664977207293666,47940,49818,64457,36682,11418,154195,0.5726609628899135,0.8196827015355086,75875,101139,102931,9368,22389,132064,0.7642180446661915,0.8809493462092131,125320,112299
1451,X3-EEG1377.YUV.DAT.20221020.162845_RV_501,24.24705187168774,43.08072916666667,24.74270077809135,43.13619791666666,23.891503336569574,43.55078125,2676,1151,14938,247987,0.14260591526778577,0.9396855506238004,17614,3827,31746,18194,16230,200582,0.47976424361493125,0.8709512955854126,47976,49940,64397,34351,11547,156457,0.5838614624416338,0.8279375599808061,75944,98748,104410,9827,20808,131707,0.7731496908437928,0.8851555002399232,125218,114237
1452,X3-EEG1377.YUV.DAT.20221020.162845_RV_51,23.458870174934685,42.544531250000006,24.138337156455307,42.728906249999994,23.639859192484977,43.01692708333333,1285,570,16349,248548,0.07058888156449132,0.9365740463051824,17634,1855,32636,20373,15638,198105,0.475417716724693,0.8650019493761996,48274,53009,60725,25158,14720,166149,0.6036102303112233,0.8505053382917467,75445,85883,111712,14293,13687,127060,0.7997022019872291,0.8951085652591171,125399,126005
